"Content Area","Standard","Strand","Split","By End Of Grade","Content Statement","Cpi Num","Cumulative Progress Indicator"
,,,,,,"B.17","Recognize that an individuals online behavior (e.g., social networking, photo exchanges, video postings) may impact opportunities for employment or advancement."
,,,,,,"B.18","Compare and contrast current and past employer hiring and employment practices related to substance use (e.g., tobacco, drugs, and alcohol)."
,,"C__Career Preparation",,,,,
,,,,12,"Career preparation requires purposeful planning based on research, self-knowledge, and informed choices.",,
,,,,,,"C.1","Assess and modify Personalized Student Learning Plans to support declared career goals."
,,,,,,"C.2","Characterize education and skills needed to achieve career goals, and take steps to prepare for postsecondary options, including making course selections, preparing for and taking assessments, and participating in extra-curricular activities."
,,,,,,"C.3","Develop personal interests and activities that support declared career goals and plans."
,,,,,,"C.4","Use online resources to examine licensing, certification, and credentialing requirements at the local, state, and national levels to maintain compliance with industry requirements in areas of career interest."
,,,,,,"C.5","Identify transferable skills in career choices and design alternative career plans based on those skills."
,,,,,,"C.6","Develop job readiness skills by participating in structured learning experiences and employment seeking opportunities."
,,,,,,"C.7","Pursue a variety of activities related to career preparation (e.g., volunteer, seek employment, and/or apply for training grants, higher education grants, and loans)."
,,,,,,"C.8","Interpret how changing economic and societal needs influence employment trends and future education."
,,,,,,"C.9","Investigate career opportunities in the United States or abroad that involve working with people from diverse cultures and that require knowledge of other languages or cultures."
,,,,,,"C.10","Differentiate entrepreneurship opportunities as options for career planning, and identify the knowledge, skills,"
,,,,,"State and federal laws and regulations require specific employment and workplace safety and health policies and procedures in order to ensure that workers are free from exploitation and to ensure a safe and healthy work environment.",,
,,,,,,"C.11","Evaluate the responsibilities of employers and employees for maintaining workplace safety, and explain health rights related to a particular occupation/career."
,,,,,,"C.12","Determine the impact of past and/or recent lawsuits and/or court decisions regarding employment laws."
,,,,,,"C.13","Comply with workplace child labor regulations and safety and health policies during structured learning experiences."
,,,,,"Both employers and employees have professional, legal, and ethical responsibilities in the workplace and in the global marketplace.",,
,,,,,,"C.14","Interpret and justify written employer organizational policies and procedures for job performance."
,,,,,,"C.15","Propose potential solutions for current workplace ethics court cases involving multinational companies."
,,,,,,"C.16","Determine the consequences of quality control failures in the United States and in another country based on issues reported in the media."
,,,,,,"C.17","Analyze relationships between companies and the communities in which they are located, and explain how the presence of companies in a community may have a positive or negative impact."
,,,,,"There is a relationship between personal behavior and employability.",,
,,,,,,"C.18","Determine how an individuals driving record (e.g., tickets, points, penalties for driving while intoxicated) and/or credit score may impact opportunities for employment, job retention, or job advancement."
,,,,,,"C.19","Compare and contrast employee substance abuse policies (e.g., tobacco, drugs, and alcohol) by industry sector."
,,,,,,"C.20","Analyze employment trends by industry sector to determine how employment and training requirements change over time."
,,,,,,"C.21","Determine the extent to which an individualﾒs online behavior (e.g., social networking, photo exchanges, video postings) may impact opportunities for employment, job retention, or job advancement."
,,,,,,"C.22","Compare and contrast New Jersey school district policies with employer policies related to individual behavior and responsibilities (e.g., absenteeism and tardiness, plagiarism, harassment)."
,,,,,,"C.23","Determine job entrance criteria (e.g., education credentials, math/writing/reading comprehension tests, drug tests) used by employers in various industry sectors."
,,,,,,"C.24","Analyze why employers use different interview techniques."
,"9.4__Career and Technical Education",,,,,,
,,"A__Agriculture, Food, & Natural Resources Career Cluster",,,,,
,,,,,"Skip"," ",
,,,,,,0,
,,"B__Architecture & Construction Career Cluster",,,,,
,,,,,"Skip",,
,,,,,,0,
,,"C__Arts, A/V Technology, & Communications Career Cluster",,," ",,
,,,,,"Skip",,
,,,,,,0,
,,"D__Business, Management & Administration Career Cluster",,,,,
,,,,,"Skip",,
,,,,,,0,
,,"E__Education & Training Career Cluster",,,,,
,,,,,"Skip",,
,,,,,,0,
